svensk,german,optional,page,chapter
vi,wir,"",11,2
den,es,"",11,2
de,sie,"",11,2
ni,ihr,"",11,2
pronomen,Pronomen,"(-et, –, -en)",11,2
säga,sagen,"(säger, sa/sade, sagt)",11,2
subjektspronomen,Subjektpronomen,"",11,2
klass,Klasse,"(-en, -er, -erna)",11,2
arbeta,arbeiten,"(-r, -de, -t)",12,2
om,über,"",11,2
ingenjör,Ingenieur/in,"(-en, -er, -erna)",12,2
läkare,Arzt/Ärztin,"(-n, –, läkarna)",12,2
sjuksköterska,Krankenschwester / Krankenpfleger,"(-n, -or, -orna)",12,2
tandläkare,Zahnarzt/Zahnärztin,"(-n, –, tandläkarna)",12,2
webbdesigner,Webdesigner/in,"(-n, webbdesigner, webbdesignerna)",12,2
fotograf,Photograph/in,"(-en, -er, -erna)",12,2
busschaufför,Busfahrer/in,"(-en, -er, -erna)",12,2
frisör,Friseur/Friseuse,"(-en, -er, -erna)",12,2
servitör,Kellner,"(-en, -er, -erna)",12,2
lärare,Lehrer/in,"(-n, –, lärarna)",12,2
kock,Koch/Köchin,"(-en, -ar, -arna)",12,2
nähä,achso,"",12,2
göra,machen,"(gör, gjorde, gjort)",12,2
då,denn,"",12,2
design,Design,(-en),12,2
plugga,studieren,"(-r, -de, -t)",12,2
studera,studieren,"(-r, -de, -t)",12,2
ja,ja,"",12,2
pensionär,Rentner/in,"(-en, -er, -erna)",12,2
jobba,arbeiten,"(-r, -de, -t)",12,2
med,mit,"",12,2
barn,Kind,"(-et, –, -en)",12,2
nu,jetzt,"",12,2
söka,suchen,"(-er, -te, -t)",12,2
filosofi,Philosophie,(-n),13,2
läsa,studieren,"(-er, -te, -t)",13,2
singel,Single,"",14,2
också,auch,"",14,3
kvinna,Frau,"(-n, -or, -orna)",14,3
bonusbarn,Stiefkind,"(-et, –, -en)",15,3
sortera,sortieren,"(-r, -de, -t)",16,3
institut,Institut,"(-et, –, -en)",17,3
Fint!,Gut!,"",17,3
god,gut,"(gott, goda)",19,3
fras,Satzglied,"(-en, -er, -erna)",19,4
Norden,Nordeuropa,"",20,4
spel,Spiel,"(-et, –, -en)",20,4
sommar,Sommer,"(-en, somrar, somrarna)",20,4
ses,sich treffen,"(ses, sågs, setts)",21,4
fin,schön,"(-t, -a)",21,4
gå,gehen,"(går, gick, gått)",21,4
väska,Tasche,"(-n, -or, -orna)",23,4
tuggummipaket,Kaugummipackung,"(-et, –, -en)",23,4
suddgummi,Radiergummi,"(-t, -n, -na)",23,4
"flaska( -n, -or, -orna) Flasche",undefined,"( -n, -or, -orna)",24,5
ny,neu,"(nytt, nya)",24,5
räkna,"rechnen, zählen","(-r, -de, -t)",25,5
udda,ungerade,"",28,5
telefonnummer,Telefonnummer,"(telefonnumret, –, telefonnumren)",28,5
ojojoj,ujujuj,"",28,5
halvtimme,halbe Stunde,"(-en, -ar, -arna)",29,5
sista,letzter,"",30,5
röka,rauchen,"(-er, -te, -t)",31,6
diska,spülen,"(-r, -de, -t)",31,6
aktiv,aktiv,"(-t, -a)",31,6
förstås,natürlich,"",31,6
liv,Leben,"(-et, –, -en)",31,6
kväll,Abend,"(-en, -ar, -arna)",32,6
imperativ,Imperativ,"",35,6
kopp,Tasse,"(-en, -ar, -arna)",35,6
vid,bei,"",35,6
kebabställe,Dönerbude,"(-t, −, -ena)",35,7
Sid,37,"",35,7
kort,Karte,"(-et, -, -en)",35,7
vänta,lite einen Augenblick,"(-r, -de, -t)",35,7
frimärke,Briefmarke,"(-t, -n, -ena)",38,7
wrap,Wrap,"(-en, -s, -sen)",38,7
juice,Saft,"(-n, -r, -rna)",38,7
paprika,Paprika,"(-n, -or, -orna)",40,8
andra,zweite,"",42,8
fisk,Fisch,"(-en, -ar, -arna)",42,8
yoghurt,Yoghurt,(-en),42,8
mjöl,Mehl,(-et),42,8
burk,Dose/Glas,"(-en, -ar, -arna)",43,8
kaviar,Kaviar,(-en),43,8
tandpetare,Zahnstocher,"(-n, −, -na)",43,8
pytt i panna,gebratene gewürfelte Reste,(-n),43,8
Australien,Australien,"",43,8
träffa,treffen,"(-r, -ade, -at)",46,9
fixa,besorgen,"(-r, -de, -t)",46,9
veckodag,Wochentag,"(-en, -ar, -arna)",47,9
positiv,positiv,"(-t, -a)",48,9
park,Park,"(-en, -er, -erna)",49,9
auktion,Versteigerung,"(-en, er, -erna)",49,9
adverb,Adverb,"(-et, −, -en)",50,9
natur,Natur,(-en),51,9
engelsk,englisch,"(-t, -a)",52,10
sorglig,traurig,"(-t, -a)",53,10
actionfilm,Actionfilm,"(-en, -er, -erna)",53,10
beställa,bestellen,"(-er, -de, -t)",54,10
novell,Kurzgeschichte,"(-en, -er, -erna)",54,10
skådespelare,Schauspieler/in,"(-n, −, na)",54,10
Kapitel,6,"",55,10
forskningsstipendium,Forschungsstipendium,"",56,10
"mormor (mormodern, mormödrar, mormödrarna)",undefined,"(mormodern, mormödrar, mormödrarna)",57,10
släktmiddag,Familienessen,"(-en, -ar, -arna)",57,11
den/det,es,"",57,11
intervjua,interviewen,"(-r, -de, -t)",58,11
låtsaspappa,Stiefvater,"(-n, -or, -orna)",59,11
mitt,mein,"",60,11
anteckna,Notizen machen,"(-r, -de, -t)",61,11
litteratur,Literatur,"(-en, -er, -erna)",62,11
dekorera,schmücken,"(-r, -ade, -t)",62,11
fortsätta,weitermachen,"(fortsätter, fortsatte, fortsatt)",62,11
dra,ziehen,"(-r, drog, dragit)",63,12
alltså,also,"",63,12
"vuxen(vuxet, vuxna) Erwachsener",undefined,"(vuxet, vuxna)",65,12
shoppa,shoppen,"(-r, -de, -t)",65,12
glad,froh,"(glatt, glada)",65,12
second hand-affär,Second-Hand-Laden,"(-en, -er, -erna)",67,12
musikaffär,Musikladen,"(-en, -er, -erna)",67,12
bara,nur,"",67,12
slips,Krawatte,"(-en, -ar, -arna)",68,12
randig,gestreift,"(-t, a,)",68,12
mjuk,weich,"(-t, -a)",69,13
shoppingexperiment,Einkaufsexperiment,"(-et, −, -en)",70,13
låna,"borgen, leihen","(-r, -de, -t)",70,13
underlakan,Laken,"(-et, −, -en)",72,13
pröva,ausprobieren,"(-r, -de, -t)",72,13
egyptisk,ägyptisch,"(-t, -a)",73,13
fundera,nachdenken,"(-r, -de, -t)",74,13
komparation,Komparierung,"",75,14
festival,Festival,"(-en, -er, -erna)",76,14
rekonstruera,rekonstruieren,"(-r, -de, -t)",78,14
siden,Seide,(-et),79,14
björn,Bär,"(-en, -ar, -arna)",79,14
ö,Insel,"(-n, -ar, -arna)",79,14
Kanada,Kanada,"",79,14
forum,Forum,"(-et, −, -en)",79,14
sjunde,siebte,"",82,15
sjuttonde,siebzehnte,"",82,15
mars,März,"",82,15
oktober,Oktober,"",82,15
jättenervös,supernervös,"(-t, -a)",83,15
springa,maraton ein Marathon laufen,"(-r, sprang, sprungit)",84,15
Egypten,Ägypten,"",85,15
hav,Meer,"(-et, −, -en)",90,16
spendera,ausgeben,"(-r, -de, -t)",91,16
mack,Tankstelle,"(-en ,-ar, -arna)",91,16
jobb,Job,"(-et, –, -en)",12,2
yrke,Beruf,"(-t, -n, -na)",13,2
till,zu,"",13,2
polis,"Polizei, Polizist/in","(-en, -er, -erna)",14,2
schweizare,Schweizer/in,"(-n, –, schweizarna)",14,2
svensk,schwedisch,"(-t, -a)",14,3
Sverige,Schweden,"",14,3
separerad,getrennt,"(separerat, separerade)",15,3
flicka,Mädchen,"(-n, -or, orna)",15,3
extra,extra,"",16,3
stava,schreiben,"(-r, -de, -t)",17,3
läge,Lage,"(-t, -n, -na)",17,3
väl,wohl,"",17,3
dålig,schlecht,"(-t, -a)",17,3
dag,Tag,"(-en, -ar, -arna)",19,3
slut,Ende,"(-et, –, -en)",19,4
nät,Netz,"(-et, –, -en)",20,4
spelföretag,Spieleunternehmen,"(-et, –, -en)",20,4
Norge,Norwegen,"",20,4
höras,von einander hören,"(hörs, hördes, hörts)",21,4
träffas,sich treffen,"(träffas, träffades, träffats)",21,4
artikel,Artikel,"(-n, artiklar, artiklarna)",21,4
lista,Liste,"(-n, -or, -orna)",23,4
läsplatta,E-Book-Reader,"(-n, -or, -orna)",23,4
respons,Rückmeldung,(-en),23,4
nyckel,Schlüssel,"(nyckeln, nycklar, nycklarna)",24,5
tavla,Tafel,"(-n, -or, -orna)",24,5
hund,Hund,"(-en, -ar, -arna)",25,5
tal,Zahl,"(-et, –, -en)",28,5
ringa,anrufen,"(-er, -de, -t)",28,5
över,nach,"",29,5
konferens,Tagung,"(-en, -er, -erna)",30,5
frukost,Frühstück,"(-en, -ar, -arna)",31,6
laga,mat Essen kochen,"(-r, -de, -t)",31,6
somna,einschlafen,"(-r, -de, -t)",31,6
dans,Tanz,"(-en, -er, -erna)",31,6
sås,Sauce,(-en),31,6
present,Geschenk,"(-en, -er, -erna)",31,6
skola,Schule,"(-n, -or, -orna)",32,6
köpcentrum,Einkaufscenter,"(köpcentret, –, köpcentren)",34,6
studio,Studio,"(-n, -r, -rna)",35,6
köpa,kaufen,"(-er, -te, -t)",35,7
tyvärr,leider,"",35,7
nästa,nächster,"",35,7
meny,Menü,"(-n, -en, -er)",35,7
apelsin,Apfelsine,"(-en, -er, -erna)",38,7
lasagne,Lasagne,"(-n, -r, -rna)",38,7
dammsugare,Punschröllchen,"(-n, −, -arna)",38,7
flera,mehrere,"",39,7
druva/vindruva,Traube,"(-n, -or, -orna)",40,8
fjärde,vierte,"",42,8
snacks,Snacks,"",42,8
köttfärs,Gehacktes,"(-en, -er, -erna)",42,8
förpackning,Verpackung,"(-en, -ar, -arna)",43,8
mjukost,Weichkäse,"(-en, -ar, -arna)",43,8
skinka,Schinken,"(-n, -or, -orna)",43,8
korv,Wurst,"(-en, -ar, -arna)",43,8
gram,Gramm,"(-met, −, -men)",45,8
hänga,med mitkommen,"(-er, -de, -t)",46,9
fredag,Freitag,"(-en, -ar, -arna)",46,9
betyda,bedeuten,"(-er, betydde, betytt)",47,9
bruka,gewöhnlich machen,"(-ade, har brukat)",49,9
stan,Stadt,"",49,9
special,speziell,"",50,9
museum,Museum,"(-et, −, -en)",51,9
läskig,gruselig,"(-t, -a)",52,10
tysk,deutsch,"(-t, -a)",53,10
komedi,Komödie,"(-n, -er, -erna)",53,10
kollega,Kollege/Kollegin,"(-n, -or, -orna)",54,10
roman,Roman,"(-en, -er, -erna)",54,10
hans,sein,"",54,10
inspiration,Inspiration,"(-en, -er, -erna)",55,10
stipendium,Stipendium,"(stipendiet, stipendier, stipendierna)",56,10
kusin,Cousin/e,"(-en, -er, -erna)",57,10
bonussyskon,Stiefgeschwister,"(-et, −, -en)",57,11
dem sie (pl.),undefined,(pl.),57,11
plastpappa,Stiefvater,"(-n, -or, -orna)",59,11
mina,meine,"",60,11
vacker,schön,"(-t, -vackra)",61,11
konserthus,Konzerthaus,"(-et, −, -en)",62,11
just,gerade,"",62,11
explodera,explodieren,"(-r, -de, -t)",62,11
fond,Fond,"(-en, -er, -erna)",62,11
klädfirma,Bekleidungshersteller,"(-n, -or, -orna)",64,12
grunda,gründen,"(-r, -de, -t)",65,12
shopping,Shopping,(-en),65,12
ansiktskräm,Gesichtcreme,"(-en, -er, -erna)",65,12
mest,meistens,"",67,12
begagnad,gebraucht,"(-t, -e)",67,12
garderob,Garderobe,"(-en, -er, -erna)",67,12
linne,Unterhemd,"(-t, -n, -na)",68,12
svart,schwarz,(-a),68,12
modern,modern,"(-t, -a)",69,13
strejk,Streik,"(-en, -er, -erna)",70,13
fantisera,fantasieren,"(-r, -de, -t)",71,13
säljare,Verkäufer,"(-n, −, -na)",72,13
passa,passen,"(-r, -de, -t)",73,13
tusental,tausende,(-s),73,13
skog,Wald,"(-en, -ar, -arna)",75,13
skön,angenehm,"(-t, -a)",75,14
köpare,Käufer,"(-n, −, -na)",77,14
lätt,leicht,(-a),79,14
friluftsmuseum,Freiluftmuseum,"(-et, -er, -erna)",79,14
söder,Süden,"",79,14
turist,Tourist,"(-en, -er, -erna)",79,14
grej,Sache,"(-en, -er, -erna)",79,14
femte,fünfte,"",82,15
sextonde,sechzehnte,"",82,15
april,April,"",82,15
födelsedag,Geburtstag,"(-en, -ar, -arna)",82,15
vara höjdrädd,Höhenangst haben,(-a),83,15
rida,reiten,"(-er, red, ridit)",84,15
dricks,Trinkgeld,(-en),87,15
fjäll,Berg,"(-et, −, -en)",90,16
växla,mellan wechseln zwischen,"(-r, -de, -t)",91,16
snabb,schnell,"(-t, -a)",91,16
gå,av aussteigen,"(gick, gått)",93,16
förskola,Kindergarten,"(-n, -or, -orna)",12,2
IT,IT,"",13,2
rätt,richtig,(-a),14,2
men,aber,"",14,2
år,Jahr,"(-et, –, -en)",14,3
tre,drei,"",15,3
matematik,Mathematik,(-en),16,3
Kapitel,2,"",17,3
okej,OK,"",17,3
hälsa,grüßen,"(-r, -de, -t)",19,3
gå,gehen,"",19,4
trivas,sich wohlfühlen,"(trivs, trivdes, trivts)",20,4
företag,Unternehmen,"(-et, –, -en)",20,4
rolig,"schön, lustig","(-t, -a)",20,4
Åland,Åland,"",20,4
precis,genau,"",21,4
varför,warum,"",22,4
tuggummi,Kaugummi,(-t),23,4
förslag,Vorschlag,"(-et, –, -en)",23,4
pengar,Geld,(-na),24,5
singular,singular,"",24,5
ljud,Laut,"(-et, –, -en)",27,5
minus,minus,"",28,5
mycket,sehr,"",28,5
minut,Minute,"(-en, -er, -erna)",29,5
äta,essen,"(äter, åt, ätit)",30,5
väninna,Freundin,"(-n, -or, -orna)",31,6
teve,Fernseher,"(-n, teveapparater, teveapparaterna)",31,6
buss,Bus,"(-en, -ar, -arna)",31,6
bearnaisesås,Sauce béarnaise,(-en),31,6
Tyskland,Deutschland,"",31,6
älg,Elch,"(-en, -ar, -arna)",34,6
ordföljd,Wortfolge,(-en),35,6
träna,trainieren,"(-r, -de, -t)",35,6
näsduk,Taschentuch,"(-en, -ar, -arna)",35,7
"te,",Tee,"(-et, -er-, -erna)",35,7
mer,mehr,"",35,7
falafelmeny,Falafelteller,"(-n, -er, -erna)",35,7
prislista,Preisliste,"(-n, -or, -orna)",38,7
cigarett,Zigarette,"(-en, -er, -erna)",38,7
bröd,Brot,"(-et, −, -en)",38,7
tomat,Tomate,"(-en, -er, -erna)",39,7
päron,Birne,"(-et, −, -en)",40,8
mejeri,Molkerei,"(-et, -er, -erna)",42,8
falukorv,große schwedische Fleischwurst,"(-en, -ar, -arna)",42,8
tvål,Seife,"(-en, -ar, -arna)",42,8
duschkräm,Duschcreme,(-en),42,8
mjölk,Milch,(-en),43,8
oliv,Olive,"(-en, -er, -erna)",43,8
id-kort,Personalausweis,"(-et, −, -en)",43,8
Kapitel,5,"",45,8
semester,Urlaub,"(-n, -rar, -rarna)",46,9
pjäs,Theaterstück,"(-en, -er, -erna)",46,9
situation,Situation,"(-en, -er, -erna)",47,9
fritid,Freizeit,(-en),49,9
trädgård,Garten,"(-en, -ar, -arna)",49,9
fiska,angeln/fischen,"(-r, -de, -t)",49,9
schack,Schach,"(-et, −, -en)",51,9
klubb,Klubb,"(-en, -ar, -arna)",51,9
svår,schwierig,"(-t, -a)",52,10
kinesisk,chinesisch,"(-t, -a)",53,10
dokumentär,Dokumentarfilm,"(-en, -er, -erna)",53,10
feber,Fieber,(-n),54,10
succé,Erfolg,"(-en, -er, -erna)",54,10
drottning,Königin,"(-en, -ar, -arna)",54,10
faster,Tante väterlicherseits,"(-n, fastrar, fastrarna)",56,10
molekyl,Molekyl,"(-en, -er, -erna)",56,10
Oma,väterlicherseits,"",57,11
honom,ihn/ihm,"",57,11
tidsadverb,Zeitadverb,"(-et, −, -en)",58,11
meteorolog,Meteorologe/Meteorologin,"(-en, -er, -erna)",59,11
vår,unser,"(-t, -a)",60,11
dynamit,Dynamit,(-en),62,11
ceremoni,Zeremonie,"(-n, -er, -erna)",62,11
flytta,umziehen,"(-r, -de, -t)",62,11
arbete,arbeiten,"(-t, -n, -ena)",62,11
byta,roller Rollen tauschen,"(byter, bytte, bytt)",63,12
hundra,hundert,"",64,12
konstnär,Künstler,"(-en -er, -erna)",65,12
hårvax,Haarwachs,"(-et, −, -en)",65,12
fota,fotografieren,"(fotografera) (-r, -de, -t)",65,12
hårschampo,Haarschampoo,"(-t, -n, -na)",67,12
procent,Prozent,(-en),67,12
skjorta,Hemd,"(-n, -or, -orna)",68,12
gul,gelb,"(-t, -a)",68,12
billig,billig,"(-t, -a)",69,13
shoppingstrejk,Shoppingstreik,"",70,13
säng,Bett,"(-en, -ar, -arna)",72,13
serie,Serie,"(-n, -er, -erna)",72,13
total,total,"(-t, -a)",73,13
hundratal,hunderte,(-s),73,13
väg,Weg,"(-en , -ar, -arna)",75,13
skär,rosa,"(-t, -a)",75,14
kund,Kunde,"(-en, -er, -erna)",78,14
neongrön,neongrün,"(-t, -a)",79,14
typisk,typisch,"(-t, -a)",79,14
Drottningholm,Drottningholm,"",79,14
packa,packen,"(-r, -de, -t)",79,14
prickruta,gepunktetes Kästchen,(-n),82,15
trettonde,dreizehnte,"",82,15
januari,Januar,"",82,15
datum,Datum,"(-et, −, -en)",82,15
modig,mutig,"(-t, -a)",83,15
tälta,zelten,"(-r, -ade, -t)",84,15
hinna,schaffen,"(hinner, hann, hunnit)",87,15
vandra,wandern,"(-r, -de, -t)",90,16
transport,Transport,"(-en, -er, -erna)",91,16
avgångstid,Abfahrtszeit,"(-en, -er, -erna)",93,16
etta,Eins,"(-n, -or, -orna)",94,16
tia,Zehn,"(-n, -or, -orna)",94,16
spårvagn,Straßenbahn,"(-en, -ar, -arna)",94,16
åka,tillbaka zurückfahren,"(åker, åkte, åkt)",95,16
mysig,gemütlich,"(-t, -a)",96,16
flygbuss,Bus zum Flughafen,"(-en, -ar, -arna)",97,17
hamn,Hafen,"(-en , -ar, -arna)",97,17
kanal,Kanal,"(-en, -er, -erna)",100,17
fotbollsspelare,Fußballspieler,"(-n, −, fotbollsspelarna)",101,17
vattna,blommor Blumen gießen,"(-r, -de, -t)",103,17
restaurang,Restaurant,"(-en, -er, -erna)",12,2
bank,Bank,"(-en, -er, -erna)",13,2
"kryssa(-r, -de, -t) för ankreuzen",undefined,"(-r, -de, -t)",14,2
min,mein,"(mitt, mina)",14,2
flickvän,Freundin,"(-nen, -ner, -nerna)",14,3
sedan,seit,"",14,3
presens,Präsens,"",16,3
alfabet,Alphabet,"(-et, –, -en)",17,3
tyska,Deutsch,"",17,3
lugn,ruhig,"(-t, -a)",17,3
Tja!,Hi!,(= Tjena!),17,3
informell,informell,"(-t, -a)",19,3
upp,hoch,"",19,4
familj,Familie,"(-en, -er, -erna)",20,4
katt,Katze,"(-en, -er, -erna)",20,4
jazz,Jazz,(-en),20,4
fest,Party,"(-en, -er, -erna)",21,4
förlåt,Entschuldigung,"",21,4
er,euch,"",23,4
kam,Kamm,"(-men, -mar, -marna)",23,4
få,dürfen,"(får, fick, fått)",24,5
necessär,Kulturbeutel,"(-en, -er, -erna)",24,5
artikel,Artikel,"(-n, artiklar, artiklarna)",24,5
främre,vorderer,"",27,5
nummer,Nummer,"(numret, –, numren)",28,5
klocka,Uhr,"(-n, -or, -orna)",29,5
timme,Stunde,"(-en, -ar, -arna)",29,5
sluta,enden,"(-r, -de, -t)",30,5
promenera,spazieren,"(-r, -de, -t)",31,6
spela,spielen,"(-r, -de, -t)",31,6
jämföra,vergleichen,"(jämför, -de, -t)",31,6
älska,lieben,"(-r, -de, -t)",31,6
nästan,fast,"",31,6
subjekt,Subjekt,"(-et, –, -en)",32,6
klassrum,Klassenzimmer,"(-met, –, -men)",34,6
din,dein,"(ditt, dina)",35,6
surfa,på datorn im Internet surfen,"(-r, -de, -t)",35,6
Kapitel,4,"",35,7
följa,med mitkommen,"(-er, -de, -t)",35,7
bulle,"Weckchen, Hefegebäck","(-n, -ar, -arna)",35,7
sätta,in reinsetzen,"(-er, satte, satt)",35,7
mellanläsk,mittelgroße Limo,"(-en, -, -en)",35,7
glass,Eis,"(-en, -ar, -arna)",38,7
sushi,Sushi,(-n),38,7
mazarin,Mandelgebäck,"(-en, -er, -erna)",38,7
snabbmatställe,Fast-Food-Restaurant,"(-t, -n, -ena)",40,7
mataffär,Esswarenladen / Lebensmittelgeschäft,"(-en, -er, -erna)",42,8
skaldjur,Schalentiere,"(-et, −, -en)",42,8
parmesanost,Parmesan,"(-en, -ar, -arna)",42,8
saltlakrits,Salzlakritz,(-et),42,8
knäckebröd,Knäckebrot,(-et),43,8
öl,Bier,"(-et, alt. -en)",43,8
bak,hinten,(bakåt) (nach),43,8
teater,Theater,"(-n, teatrar, teatrarna)",46,8
lust,Lust,"(-en, -ar, -arna)",46,9
låta,klingen,"(låter, lät, låtit)",46,9
typ,"Art, Typ","(-en, -er, -erna)",47,9
squash,Squash,(-en),48,9
blomma,Blume,"(-n, blommor, blommorna)",49,9
frekvens,Frequenz,"(-en, -er, -erna)",50,9
kyrka,Kirche,"(-n, -or, -orna)",51,9
skräckfilm,Horrorfilm,"(-en, -er, -erna)",52,10
intressant,interessant,(-a),53,10
jätterolig,superlustig,"(-t, -a)",53,10
prat,Gerede,(-et),54,10
författare,Schriftsteller,"(-n, −, -na)",54,10
gifta,sig heiraten,"(-er, -e, gift)",54,10
liter,Liter,"(-n, litrar, litrarna)",55,10
kemi,Chemie,(-n),56,10
otrolig,unglaublich,"(-t, -a)",56,10
förälder,Elternteil,"(-n, föräldrar, föräldrarna)",57,11
objektspronomen,Objektspronomen,"",57,11
far,Vater,"(fadern, fäder, fädren)",58,11
ge,respons Rückmeldung geben,"(-r, gav, gett)",59,11
er,euer,"(-t, -a)",60,11
Nobeldagen,Nobeltag,"",62,11
olik,"ungleich, unähnlich","(-t, -a)",62,11
dö,sterben,"(-r, dog, -tt)",62,11
testamente,Testament,"(-t, -n, -na)",62,11
kläder,Kleider,(-na),64,12
konstruera,konstruieren,"(-r, -de, -t)",65,12
Kapitel,7,"",65,12
tusen,tausend,"",65,12
handla,einkaufen,"(-r, -ade, -at)",67,12
trumset,Schlagzeug,"(-et, −, -en)",67,12
slänga,wegwerfen,"(-er, -de, -t)",67,12
kavaj,"Jackett, Sakko, Blazer","(-en, -er, -erna)",68,12
brun,braun,"(-t, -a)",68,12
ljus,hell,"(-t, -a)",69,13
singelmamma,alleinerziehende Mutter,"(-n, or, -orna)",70,13
inga,keine,"",71,13
möbel,Möbel,"(-n, möbler, möblerna)",72,13
dubbelsäng,Doppelbett,"(-en, -ar, -arna)",73,13
sänglampa,Bettlampe,"(-n, -or, -orna)",73,13
springa,laufen,"(-er, sprang, sprungit)",75,13
skylt,Schild,"(-en, -ar, -arna)",75,14
rekommendera,empfehlen,"(-r, -de, -t)",77,14
resväska,Reisetasche,"(-n, -or, -orna)",79,14
Skansen,Skansen,"",79,14
öster,Osten,"",79,14
slott,Schloss,"(-et, −, -en)",79,14
solglasögon,Sonnenbrille,(-en),79,14
prick,Punkt,"(-en, -ar, -arna)",82,15
tolfte,zwölfte,"",82,15
trettionde,dreißigste,"",82,15
september,September,"",82,15
nervös,nervös,"(-t, -a)",83,15
tidspreposition,Zeitpräposition,"",83,15
destination,Destination,"(-en, -er, -erna)",85,15
vinterjacka,Winterjacke,"(-n, -or, -orna)",88,15
läsa,böcker Bücher lesen,"(läser, läste, läst)",90,16
vagn,Wagen,"(-en, -ar, -arna)",91,16
stressa,stressen,"(-r, -de, -t)",93,16
trea,Drei,"(-n, -or, -orna)",94,16
nollåtta,Stockholmer,(stockholmare),94,16
negation,Negation,"(-en, -er, -erna)",13,2
ekonomi,Wirtschaft,(-n),13,2
biolog,Biologe/Biologin,"(-en, -er, -erna)",14,2
en,ein,"",14,2
toppen,spitze,"",14,3
källa,Quelle,"(-n, -or, -orna)",14,3
pojke,Junge,"(-n, -ar, -arna)",15,3
England,England,"",16,3
om,über,"",17,3
själv,selbst,(-a),17,3
vanlig,gewöhnlich,"(-t, -a)",17,3
jättetrött,supermüde,"",17,3
intonation,Intonation,"(-en, -er, -erna)",19,4
journalist,Journalist/in,"(-en, -er, -erna)",20,4
